,HydroID,BoreID,FromDepth,ToDepth,Description,Lithology_1,MajorLithCode
0,80000001,80000001,0.0,4.0,poorly sorted sands and minor gravel in dark grey to brown clay. minor leakage.,sand,None
1,80000001,80000001,4.0,34.0,dacite to rhyro-dacite. minor fracturing no water intersected,dacite,None
2,80000001,80000001,34.0,36.0,dacite to rhyro-dacite. carbonaceous zones with pyrite. minor water,dacite,None
3,80000001,80000001,48.0,60.0,dacite to rhyro-dacite. minor carbonaceous. major aquifer.,dacite,None
4,80000002,80000002,0.0,2.0,large pebbles with poorly sorted sands. major water loss during drilling with major cavity formed.,sand,None
5,80000002,80000002,2.0,36.0,dacite to rhyro-dacite. firm minor fracturing no major water intersected,dacite,None
6,80000002,80000002,36.0,60.0,"dacite to rhyro-dacite. water intersected, major zone below 40 metres",dacite,None
7,80000003,80000003,0.0,1.0,light grey silts and clay. no aquifer detected.,clay,None
8,80000003,80000003,1.0,18.0,dacite to rhyro-dacite. minor water intersected at 18.0 metres,dacite,None
9,80000003,80000003,18.0,32.0,dacite to rhyro-dacite.,dacite,None
10,80000003,80000003,32.0,60.0,dacite to rhyro-dacite. multiple fracture systems intersected with water,dacite,None
11,80000004,80000004,0.0,1.0,"grey clay, no water intersected. no aquifer detected.",clay,None
12,80000004,80000004,1.0,5.0,dacite. grading moderately to slightly weathered dacite.,dacite,None
13,80000004,80000004,5.0,80.0,"dacite, firm, dry, minor fracturing",dacite,None
14,80000004,80000004,80.0,84.0,"dacite, minor water intersected.",dacite,None
15,80000005,80000005,0.0,1.0,dark brown silty loam,,None
16,80000005,80000005,1.0,3.0,yellowish brown clayey coarse gravel; gravel clasts mostly weathered mudstone,gravel,None
17,80000005,80000005,3.0,4.0,black organic fine sandy silt,,None
18,80000005,80000005,4.0,9.0,"fine gravel, well sorted. grains 30% sub-rounded quartz, 70% sub-rounded and tabular shale rock fragments",gravel,None
19,80000005,80000005,9.0,12.0,"coarse sand, well sorted. grains 50% sub-rounded quartz, 50% sub-rounded shale and mudstone rock fragments",sand,None
20,80000005,80000005,12.0,13.0,"pre-cainozoic basement, silicified fine-grained volcanic rock? very hard",rock,None
21,80000006,80000006,0.0,1.0,red clay overlying yellowish brown plastic clay with weathered shale fragments,clay,None
22,80000006,80000006,1.0,2.0,yellowish brown weathered shale with claybands,shale,None
23,80000006,80000006,2.0,6.0,"pale pinkish brown shale; fissile, minor manganese staining",shale,None
24,80000006,80000006,6.0,7.0,"pale pinkish grey soft weathered mudstone, clayey",mudstone,None
25,80000006,80000006,7.0,9.0,"pale yellowish brown shale; fissile and fractured but dry, minor manganese staining on fracture faces",shale,None
26,80000006,80000006,9.0,11.0,pale pinkish grey shale,shale,None
27,80000006,80000006,11.0,14.0,pinkish grey shale with yellowish brown claybands,shale,None
28,80000006,80000006,14.0,15.0,yellowish brown shale with minor manganese staining,shale,None
29,80000006,80000006,15.0,16.0,pinkish brown shale,shale,None
30,80000006,80000006,16.0,17.0,yellowish brown mudstone; fractured with manganese staining on fracture faces; dry,mudstone,None
31,80000006,80000006,17.0,21.0,"yellowish brown shale, very fissile",shale,None
32,80000006,80000006,21.0,23.0,yellowish brown mudstone,mudstone,None
33,80000006,80000006,23.0,28.0,olive brown and olive grey shale; fissile,shale,None
